id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Old Porch Letters,Rustwood Trio,folk,nostalgic,0.33,84,0.52,0.45,0.81
12,Marble Hall Reverie,Elena Voskresenska,classical,peaceful,0.22,66,0.58,0.24,0.95
13,Crown of Thunder,Iron Sable,metal,aggressive,0.97,168,0.35,0.55,0.03
14,Velvet After Dark,Simone Bijoux,r&b,sultry,0.54,88,0.62,0.71,0.29
15,Dust Road Home,Hank Calloway,country,bittersweet,0.47,100,0.44,0.53,0.63
16,Neon Pulse Overdrive,Kilo Static,edm,euphoric,0.95,128,0.88,0.91,0.04
17,Rainy Window Blues,Marcus Teel,blues,melancholic,0.31,68,0.30,0.42,0.68
18,Block Party Anthem,Trey Nova,hip hop,triumphant,0.86,96,0.80,0.87,0.12
